miRNA,Target Gene,Attention_Weight
hsa-miR-135a-5p,APC,0.28242493
hsa-miR-135b-5p,APC,0.2700136
hsa-miR-9-5p,PRDM1,0.008424565
hsa-let-7a-5p,PRDM1,1.2907753e-08
hsa-miR-106a-5p,APP,0.9978416
hsa-miR-210-3p,NPTX1,0.033601295
hsa-miR-29c-3p,COL1A1,0.011622636
hsa-miR-29c-3p,COL1A2,0.00066534337
hsa-miR-29c-3p,COL3A1,0.002108938
hsa-miR-29c-3p,COL4A1,0.11398688
hsa-miR-29c-3p,COL4A2,0.3279842
hsa-miR-29c-3p,COL15A1,0.0049958285
hsa-miR-29c-3p,SRSF10,0.6747272
hsa-miR-29c-3p,LAMC1,0.7408589
hsa-miR-29c-3p,SPARC,0.0032174063
hsa-miR-29c-3p,TDG,0.3110795
hsa-miR-146a-5p,BRCA1,0.16748975
hsa-miR-146a-5p,BRCA2,0.24656695
hsa-miR-126-3p,HOXA9,0.0028387697
hsa-miR-106a-5p,ARID4B,0.9999243
hsa-miR-106a-5p,MYLIP,0.0011077342
hsa-miR-106a-5p,HIPK3,0.047072977
hsa-miR-106a-5p,CDKN1A,0.9999995
hsa-miR-107,BACE1,0.00878054
hsa-miR-126-5p,SLC45A3,0.041294634
hsa-miR-155-5p,LDOC1,0.25556025
hsa-miR-155-5p,MATR3,0.88208425
hsa-miR-155-5p,TM6SF1,0.20209599
hsa-miR-17-5p,CDKN1A,1.0
hsa-miR-19b-3p,HIPK3,0.002342059
hsa-miR-19b-3p,MYLIP,6.4790675e-07
hsa-miR-20b-5p,ARID4B,0.88913715
hsa-miR-20b-5p,MYLIP,0.082609795
hsa-miR-20b-5p,HIPK3,0.20608906
hsa-miR-20b-5p,CDKN1A,0.9665972
hsa-miR-214-3p,PTEN,0.3732646
hsa-miR-224-5p,API5,0.46674147
hsa-miR-27a-3p,MYT1,9.315949e-22
hsa-miR-27a-3p,ZBTB10,0.0001883361
hsa-miR-29a-3p,BACE1,0.00023307829
hsa-miR-29b-3p,BACE1,1.2991186e-05
hsa-miR-9-5p,BACE1,0.07689829
hsa-miR-92a-3p,HIPK3,0.0051171994
hsa-miR-92a-3p,MYLIP,3.9321826e-06
hsa-miR-107,CDK6,0.9980478
hsa-miR-34a-5p,AXIN2,0.00098232
hsa-miR-34a-5p,WNT1,6.441702e-05
hsa-miR-605-5p,SEC24D,0.23418856
hsa-let-7b-5p,CDC34,0.18132712
hsa-miR-15a-5p,CCNE1,0.003679299
hsa-miR-15a-5p,CCND1,1.0
hsa-miR-16-5p,CCNE1,0.00013898172
hsa-miR-127-3p,PRDM1,0.022082781
hsa-miR-182-5p,RARG,4.912661e-05
hsa-miR-21-5p,MARCKS,1.0
hsa-miR-21-5p,LRRFIP1,1.0
hsa-miR-101-3p,FOS,0.23059721
hsa-miR-124-3p,SLC16A1,0.49607962
hsa-miR-27a-3p,PHB,1.0
hsa-miR-494-3p,PTEN,0.34348857
hsa-miR-21-5p,TGFBI,0.9972893
hsa-miR-155-5p,APC,0.27411973
hsa-miR-17-5p,BCL2L11,1.3810726e-08
hsa-miR-133a-3p,HCN2,0.09123425
hsa-miR-133a-3p,CACNA1C,0.07314568
hsa-miR-9-5p,RAB34,0.6054583
hsa-miR-92a-3p,TP63,1.9866176e-08
hsa-miR-155-5p,SPI1,0.061240293
hsa-miR-125b-5p,VDR,0.002853892
hsa-miR-124-3p,CDK2,0.290578
hsa-miR-124-3p,CCL2,0.20832826
hsa-miR-491-5p,BCL2L1,0.640206
hsa-miR-21-5p,E2F1,4.7290283e-09
hsa-miR-21-5p,PTEN,0.1591088
hsa-miR-21-5p,TGFBR2,0.6119584
hsa-miR-21-5p,FMOD,5.1880133e-15
hsa-miR-21-5p,TGIF1,0.5796428
hsa-miR-155-5p,INPP5D,0.07054454
hsa-miR-155-5p,FGF7,0.027461018
hsa-miR-31-5p,FOXP3,1.5391749e-10
hsa-miR-145-5p,MYC,0.74234927
hsa-miR-23b-3p,PLAU,0.55036867
hsa-miR-23b-3p,MET,1.0
hsa-miR-200a-3p,CTNNB1,0.74233955
hsa-miR-200a-3p,ZEB1,0.44953817
hsa-miR-200a-3p,ZEB2,0.14550957
hsa-miR-196a-5p,HOXA7,0.12260969
hsa-miR-196a-5p,HOXB8,0.031032227
hsa-miR-196a-5p,HOXC8,0.062191084
hsa-miR-196a-5p,HOXD8,0.08377908
hsa-miR-182-5p,FOXO3,0.005375619
hsa-miR-92b-3p,CDKN1C,0.00087452226
hsa-miR-200b-3p,WASF3,0.005767127
hsa-miR-101-3p,PTGS2,0.9997327
hsa-miR-17-5p,PKD2,6.9135062e-06
hsa-miR-130a-3p,MAFB,0.0012814545
hsa-miR-10a-5p,HOXA1,0.093518816
hsa-let-7b-5p,LIN28B,5.649959e-06
hsa-miR-346,BTK,0.043274716
hsa-miR-105-5p,TLR2,0.0014198377
hsa-miR-98-5p,E2F2,0.016089862
hsa-miR-98-5p,MYC,0.8632178
hsa-miR-18a-5p,ESR1,1.219185e-06
hsa-miR-29b-3p,ESR1,1.100888e-11
hsa-miR-29b-3p,NCOA3,0.5937116
hsa-miR-19b-3p,ESR1,5.163155e-12
hsa-miR-20b-5p,ESR1,0.0058853463
hsa-miR-223-3p,RHOB,0.53369975
hsa-miR-223-3p,NFIX,0.2051615
hsa-miR-25-3p,CDKN1C,1.3611989e-05
hsa-miR-93-5p,CDKN1A,1.0
hsa-miR-7-5p,SNCA,0.00012348144
hsa-miR-503-5p,CCND1,0.9998996
hsa-miR-421,CBX7,0.013568944
hsa-miR-421,RBMXL1,0.06546244
hsa-miR-221-3p,KIT,0.0018981355
hsa-miR-26a-5p,PTEN,0.3217755
hsa-miR-21-5p,ERBB2,1.233687e-06
hsa-let-7a-5p,UHRF2,0.00045017846
hsa-miR-27a-3p,FOXO1,6.22658e-06
hsa-miR-96-5p,FOXO1,0.00416013
hsa-miR-182-5p,FOXO1,0.000109715016
hsa-miR-9-5p,NFKB1,0.21834211
hsa-miR-155-5p,JARID2,0.098596744
hsa-miR-370-3p,MAP3K8,0.12653227
hsa-miR-128-3p,RELN,9.0586646e-08
hsa-miR-218-5p,LAMB3,0.18752846
hsa-miR-196b-5p,HOXB8,0.1364179
hsa-miR-346,LIF,0.24869926
hsa-miR-200c-3p,ZEB1,0.44758558
hsa-miR-200c-3p,ZEB2,0.09263834
hsa-miR-181a-5p,KAT2B,0.0012085577
hsa-miR-181b-5p,KAT2B,0.03201832
hsa-miR-25-3p,KAT2B,0.00043680775
hsa-miR-32-5p,KAT2B,0.01068576
hsa-miR-93-5p,KAT2B,0.00014521657
hsa-miR-106b-5p,KAT2B,1.8028888e-05
hsa-miR-19b-3p,SOCS1,8.139809e-09
hsa-miR-19a-3p,SOCS1,5.5676816e-07
hsa-miR-124-3p,CDK6,0.7981701
hsa-miR-26a-5p,EZH2,0.00022642186
hsa-miR-34a-5p,CCND1,0.9999976
hsa-miR-34a-5p,CDK6,0.99438334
hsa-miR-212-3p,TJP1,0.86973065
hsa-miR-450a-5p,HNRNPK,0.9999963
hsa-let-7a-5p,DICER1,0.050001405
hsa-let-7d-5p,DICER1,0.20086251
hsa-miR-183-5p,EZR,0.9999951
hsa-miR-377-3p,SOD2,0.9952857
hsa-miR-377-3p,SOD1,0.9948533
hsa-miR-377-3p,PAK1,0.22713475
hsa-miR-328-3p,CD44,0.9902131
hsa-miR-19a-3p,PRMT5,0.9997342
hsa-miR-25-3p,PRMT5,0.9994418
hsa-miR-32-5p,PRMT5,0.98266083
hsa-miR-92b-3p,PRMT5,0.98849386
hsa-miR-96-5p,PRMT5,0.99386793
hsa-miR-132-3p,ARHGAP32,0.00021332725
hsa-miR-34a-5p,MYCN,0.000109073895
hsa-miR-15b-5p,BCL2,1.4509468e-05
hsa-miR-17-5p,PTPRO,3.3145868e-09
hsa-miR-155-5p,ZIC3,0.18596566
hsa-miR-155-5p,ZNF652,0.08944532
hsa-miR-155-5p,HIVEP2,0.17809728
hsa-miR-155-5p,ARID2,0.25270233
hsa-miR-155-5p,CEBPB,0.9493814
hsa-miR-155-5p,SMAD5,0.4095815
hsa-miR-155-5p,DET1,0.068695195
hsa-miR-21-5p,RECK,3.0069308e-11
hsa-miR-126-3p,IRS1,0.32778323
hsa-miR-186-5p,P2RX7,0.24768718
hsa-miR-150-5p,P2RX7,0.24110466
hsa-miR-21-5p,SERPINB5,1.6984409e-19
hsa-miR-21-5p,MTAP,1.0212003e-08
hsa-miR-21-5p,SOX5,3.6616853e-16
hsa-miR-130a-3p,MEOX2,0.0008082326
hsa-miR-130a-3p,HOXA5,0.0031420235
hsa-miR-17-5p,MAPK9,0.0014319242
hsa-miR-148a-3p,DNMT3B,0.00075909565
hsa-miR-21-5p,TIMP3,1.530041e-12
hsa-miR-126-3p,PIK3R2,0.12539549
hsa-miR-7-5p,HELLS,0.914267
hsa-miR-24-3p,CDKN2A,6.139977e-08
hsa-miR-203a-3p,TP63,0.041995768
hsa-miR-125b-5p,AKT1,0.018961202
hsa-miR-146a-5p,ROCK1,0.44644293
hsa-miR-122-5p,BCL2L2,0.124974765
hsa-miR-155-5p,IKBKE,0.25577658
hsa-miR-424-5p,CCND1,1.0
hsa-miR-16-5p,CCND3,0.08206154
hsa-miR-16-5p,CDK6,1.0
hsa-miR-424-5p,CDK6,0.99999964
hsa-miR-424-5p,CCND3,0.109924346
hsa-miR-424-5p,CCNE1,0.0005199408
hsa-miR-150-5p,MYB,0.07246422
hsa-let-7g-5p,IGF2BP1,0.92408603
hsa-miR-34a-5p,E2F3,0.11020056
hsa-miR-34a-5p,CCNE2,0.00870942
hsa-miR-34b-5p,CCNE2,0.085864626
hsa-miR-34c-5p,CCNE2,0.08370639
hsa-miR-34c-5p,CDK4,0.76312244
hsa-miR-34b-5p,CDK4,0.80090964
hsa-miR-34a-5p,CDK4,0.98465216
hsa-miR-34b-5p,CDK6,0.86843944
hsa-miR-34b-5p,CREB1,0.29823726
hsa-miR-34a-5p,DLL1,0.001385478
hsa-miR-34c-5p,E2F3,0.21311615
hsa-miR-34a-5p,MET,0.99701786
hsa-miR-34b-5p,MET,0.8921615
hsa-miR-34c-5p,MET,0.85518116
hsa-miR-34b-5p,MYC,0.766547
hsa-miR-34c-5p,MYC,0.7273456
hsa-miR-21-5p,BTG2,9.412844e-11
hsa-miR-125b-5p,CYP24A1,0.38652
hsa-miR-34a-5p,MYB,0.0020418104
hsa-miR-330-3p,E2F1,0.06703511
hsa-miR-122-5p,RHOA,0.94107836
hsa-miR-146a-5p,IRAK1,0.98010075
hsa-miR-146a-5p,TRAF6,0.09278551
hsa-miR-196a-5p,ANXA1,0.9994814
hsa-let-7a-5p,ITGB3,5.907323e-09
hsa-miR-135a-5p,JAK2,0.24167943
hsa-miR-93-5p,TUSC2,0.000118318036
hsa-miR-98-5p,TUSC2,0.066060826
hsa-miR-197-3p,TUSC2,0.055155385
hsa-miR-18b-5p,ESR1,0.005600022
hsa-miR-193b-3p,ESR1,1.43136845e-08
hsa-miR-181a-5p,PLAG1,3.7490466e-07
hsa-miR-181b-5p,PLAG1,0.00020584837
hsa-miR-424-5p,PLAG1,1.2561354e-09
hsa-miR-34a-5p,MYC,0.97598445
hsa-miR-193b-3p,PLAU,0.5202877
hsa-miR-140-5p,HDAC4,0.13266325
hsa-miR-221-3p,KMT2A,0.48817888
hsa-miR-221-3p,AFF1,0.16111982
hsa-miR-125b-5p,RAF1,0.0010354725
hsa-miR-125b-5p,ERBB2,7.747573e-05
hsa-let-7c-5p,TGFBR1,0.3303378
hsa-miR-29b-3p,TET1,7.611443e-09
hsa-miR-29b-3p,CDK6,1.0
hsa-miR-29a-3p,MCL1,0.99045724
hsa-miR-29a-3p,CDK6,0.9999958
hsa-miR-145-5p,CLINT1,0.6888107
hsa-miR-145-5p,PPP3CA,0.65822655
hsa-miR-145-5p,CBFB,0.1864962
hsa-miR-122-5p,RAC1,0.99071306
hsa-miR-326,NOTCH1,0.14092326
hsa-miR-326,NOTCH2,0.2484053
hsa-miR-424-5p,ANLN,0.018202743
hsa-miR-424-5p,WEE1,0.00033786026
hsa-miR-424-5p,ATF6,0.06495192
hsa-miR-424-5p,KIF23,0.00062510447
hsa-miR-424-5p,CHEK1,0.00089156366
hsa-miR-424-5p,CDC25A,1.2648951e-05
hsa-miR-424-5p,CDC14A,1.4207856e-06
hsa-miR-424-5p,CCNF,2.2182917e-08
hsa-miR-503-5p,CDC14A,0.0157668
hsa-miR-503-5p,ANLN,0.17074488
hsa-miR-503-5p,ATF6,0.26029673
hsa-miR-503-5p,AGO1,0.0074748867
hsa-miR-503-5p,CDC25A,0.025474066
hsa-miR-503-5p,CHEK1,0.10066053
hsa-miR-503-5p,CCNE1,0.08712096
hsa-miR-503-5p,CCNE2,0.02211382
hsa-miR-503-5p,WEE1,0.0626951
hsa-miR-503-5p,CCNF,0.003300116
hsa-miR-503-5p,CDKN1A,0.99938667
hsa-miR-146a-5p,FADD,0.24569768
hsa-miR-223-3p,E2F1,0.08825408
hsa-miR-145-5p,YES1,0.49393
hsa-miR-145-5p,STAT1,0.43490362
hsa-miR-221-3p,ICAM1,0.045183983
hsa-miR-15b-5p,RECK,6.3968946e-07
hsa-miR-125a-5p,CDKN1A,1.0
hsa-miR-132-3p,CDKN1A,1.0
hsa-miR-20a-5p,CDKN1A,1.0
hsa-miR-28-5p,CDKN1A,0.9998586
hsa-miR-299-5p,CDKN1A,0.99875593
hsa-miR-345-5p,CDKN1A,0.985872
hsa-miR-363-3p,CDKN1A,0.9771937
hsa-miR-423-3p,CDKN1A,0.99993217
hsa-miR-654-3p,CDKN1A,0.9993693
hsa-miR-16-5p,ACVR2A,6.4931376e-09
hsa-miR-125b-5p,TP53,0.0068399445
hsa-miR-324-5p,GLI1,0.025301667
hsa-miR-324-5p,SMO,0.019238401
hsa-miR-326,SMO,0.19334257
hsa-miR-125b-5p,SMO,0.0001516002
hsa-miR-106b-5p,ITCH,0.99706656
hsa-miR-451a,CAB39,0.18972774
hsa-miR-17-5p,PTEN,0.26400304
hsa-miR-20b-5p,HIF1A,0.9915514
hsa-miR-20b-5p,STAT3,0.51265454
hsa-miR-138-5p,RHOC,0.91851705
hsa-miR-138-5p,ROCK2,0.9837198
hsa-miR-31-5p,LATS2,2.9322587e-06
hsa-miR-31-5p,PPP2R2A,1.0
hsa-miR-34a-5p,MAP2K1,0.5608022
hsa-miR-221-3p,FOS,0.3321303
hsa-miR-222-3p,FOS,0.2138014
hsa-miR-17-5p,JAK1,0.99684024
hsa-miR-193b-3p,CCND1,1.0
hsa-miR-151a-5p,ARHGDIA,1.0
hsa-miR-124-3p,EFNB1,0.06891059
hsa-miR-107,HIF1A,1.0
hsa-miR-16-2-3p,RARB,0.0079160305
hsa-let-7g-5p,MYC,0.9913264
hsa-let-7g-5p,CDKN2A,0.00019567712
hsa-miR-1296-5p,MCM2,0.38787168
hsa-miR-145-5p,BNIP3,0.6097309
hsa-let-7g-5p,COL1A2,5.2098176e-07
hsa-let-7g-5p,BCL2L1,0.9599543
hsa-let-7c-5p,BCL2L1,0.8678222
hsa-miR-34a-5p,NOTCH1,0.021761328
hsa-miR-34a-5p,JAG1,0.9676138
hsa-let-7a-5p,NKIRAS2,0.09106219
hsa-miR-125b-5p,NKIRAS2,0.08193487
hsa-miR-155-5p,MLH1,0.2639113
hsa-miR-155-5p,MSH2,0.4254077
hsa-miR-155-5p,MSH6,0.3952515
hsa-miR-145-5p,MYO6,0.258847
hsa-miR-155-5p,SOCS1,0.044573322
hsa-let-7f-5p,KLK10,5.54355e-06
hsa-miR-224-5p,KLK10,0.00028154402
hsa-miR-134-5p,ABCC1,0.55239606
hsa-miR-155-5p,FOXO3,0.22208658
hsa-miR-146a-5p,TLR2,0.0013442265
hsa-miR-145-5p,FLI1,0.13780034
hsa-miR-7-5p,SRSF1,0.9999261
hsa-miR-29b-3p,SP1,0.0022264472
hsa-miR-155-5p,MECP2,0.22907534
hsa-miR-27b-3p,ADORA2B,0.0061876774
hsa-miR-483-3p,BBC3,0.17762354
hsa-miR-212-3p,PEA15,0.96319336
hsa-miR-221-3p,FOXO3,0.1805984
hsa-miR-222-3p,FOXO3,0.009171966
hsa-miR-101-3p,APP,0.9999337
hsa-miR-148a-3p,RPS6KA5,0.010622852
